energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,4.04336,0.02673,59.983000000000004,0.46603999999999995,60.449,58.24,0.5959
2.224304,4.03909,0.023204,48.71,0.45491000000000004,49.165,47.29,0.5574
2.377781,4.03518,0.020138999999999997,39.548,0.44332,39.991,38.38,0.5214
2.541848,4.031619999999999,0.017480000000000002,32.11,0.43138999999999994,32.541,31.16,0.4878
2.717235,4.02839,0.015171,26.07,0.4192,26.489,25.29,0.4563
2.9047240000000003,4.02551,0.013168000000000001,21.166999999999998,0.40686,21.574,20.53,0.4268
3.10515,4.02306,0.011387999999999999,17.124000000000002,0.39444,17.518,16.61,0.3993
3.319406,4.020630000000001,0.0098151,13.806,0.38204,14.187999999999999,13.39,0.3735
3.5484449999999996,4.01844,0.008459600000000001,11.132,0.36973,11.502,10.79,0.3494
3.7932879999999995,4.0164599999999995,0.0072914,8.9752,0.35757,9.3328,8.699,0.3269
4.0550239999999995,4.01468,0.0062835,7.2353,0.34563,7.5809,7.0120000000000005,0.3058
4.334821,4.01308,0.0054148,5.8325,0.33397,6.1665,5.653,0.286
4.6339239999999995,4.01165,0.0046662,4.7018,0.32264,5.0244,4.5569999999999995,0.2676
4.953664,4.01037,0.0040211,3.7902,0.31167,4.1019,3.673,0.2503
5.2954669999999995,4.0092300000000005,0.0034650999999999996,3.0554,0.30111,3.3565,2.9610000000000003,0.2341
5.660855000000001,4.0082,0.0029861,2.463,0.29098,2.754,2.387,0.219
6.0514529999999995,4.00729,0.0025732,1.9855,0.2813,2.2668,1.9240000000000002,0.2049
6.469004,4.006469999999999,0.0022175000000000003,1.6006,0.27209,1.8727,1.551,0.1917
6.9153649999999995,4.00574,0.0019109,1.2903,0.26336,1.5537,1.25,0.1793
7.392525,4.0051,0.0016466999999999999,1.0401,0.25511,1.2952,1.008,0.1677
7.902609,4.004519999999999,0.0014191,0.83845,0.24735,1.0858,0.8126,0.1569
8.44789,4.00401,0.0012229,0.6759,0.24006,0.91596,0.655,0.1468
9.030794,4.00356,0.0010525,0.5441699999999999,0.23323000000000002,0.7774,0.5274,0.1373
9.653919,4.00316,0.00090177,0.43616000000000005,0.22687,0.66303,0.4226,0.1284
10.320039999999999,4.0028,0.00077264,0.34958,0.22094,0.57052,0.3387,0.1201
11.032119999999999,4.00248,0.000662,0.28019,0.21543,0.49562,0.2714,0.1124
11.793339999999999,4.002190000000001,0.00056721,0.22457,0.21031999999999998,0.43488999999999994,0.2175,0.1051
12.60708,4.00194,0.00048599,0.18,0.20559000000000002,0.38559,0.1743,0.09834
13.476970000000001,4.00171,0.0004164,0.14427,0.20122,0.34549,0.1397,0.092
14.40688,4.00151,0.00035677,0.11563,0.19717,0.3128,0.112,0.08606
15.40095,4.00134,0.00030569,0.092679,0.19343,0.28611,0.08972999999999999,0.0805
16.463620000000002,4.001180000000001,0.00026192,0.074282,0.18997,0.26425,0.07191,0.07531
17.599610000000002,4.00104,0.00022441,0.059538,0.18677,0.24631,0.057629999999999994,0.07045
18.813979999999997,4.00092,0.00019228,0.04772,0.18379,0.23151,0.046189999999999995,0.0659
20.11215,4.0008099999999995,0.00016475,0.038248000000000004,0.18102000000000001,0.21927,0.03701,0.06165
21.499879999999997,4.000719999999999,0.00014116,0.030656,0.17844000000000002,0.2091,0.029660000000000002,0.057670000000000006
22.98338,4.00063,0.00012094,0.024571,0.17602,0.20059000000000002,0.02377,0.05395
24.569229999999997,4.00056,0.00010363,0.019694,0.17373,0.19342,0.01905,0.050460000000000005
26.2645,4.00049,8.878799999999999e-05,0.015785,0.17157,0.18736,0.015269999999999999,0.04721
28.076759999999997,4.000430000000001,7.594e-05,0.012629000000000001,0.16951,0.18214,0.012209999999999999,0.044160000000000005
30.01405,4.000380000000001,6.4915e-05,0.010099,0.16752,0.17762,0.009764,0.04131
32.08502,4.0003400000000005,5.549e-05,0.0080753,0.16560999999999998,0.17369,0.0078060000000000004,0.03864
34.29889,4.0003,4.7433000000000005e-05,0.006457300000000001,0.16374,0.1702,0.00624,0.03615
36.66551,4.00026,4.0546e-05,0.0051635,0.16192,0.16708,0.004989,0.03381
39.19543,4.00023,3.466e-05,0.0041289,0.16011,0.16424,0.003988,0.03163
41.89992,4.0002,2.9628e-05,0.0033016999999999994,0.15833,0.16163,0.003188,0.029589999999999998
44.79101,4.00018,2.5325999999999998e-05,0.0026401,0.15654,0.15918,0.002549,0.02768
47.88159,4.00016,2.1649000000000002e-05,0.0021111999999999997,0.15475,0.15686,0.002038,0.025889999999999996
