energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,27.0031,4.4033,1511.1,4.1474,1515.2,0.0,0.5959
2.224304,27.0049,3.9603,1271.3,4.0712,1275.4,0.0,0.5574
2.377781,26.9898,3.5635,1070.1,3.9853,1074.1,0.0,0.5214
2.541848,26.9602,3.2082,901.21,3.8906,905.1,0.0,0.4878
2.717235,26.9203,2.8901,759.47,3.788,763.26,0.0,0.4563
2.9047240000000003,26.8771,2.6054,640.46,3.6784,644.14,0.0,0.4268
3.10515,26.8376,2.3362,537.2,3.5627,540.76,0.0,0.3993
3.319406,26.7746,2.0714,445.57,3.4418,449.01,0.0,0.3735
3.5484449999999996,26.6954,1.837,369.65,3.3167,372.97,0.0,0.3494
3.7932879999999995,26.6078,1.6283,306.51,3.1884,309.7,0.0,0.3269
4.0550239999999995,26.5107,1.4403,253.61,3.0576,256.67,0.0,0.3058
4.334821,26.4054,1.2751,210.04,2.9253,212.97,0.0,0.286
4.6339239999999995,26.2922,1.13,174.12,2.7924,176.91,0.0,0.2676
4.953664,26.1697,1.0023,144.48,2.6595,147.14,0.0,0.2503
5.2954669999999995,26.0338,0.8899600000000001,120.0,2.5274,122.53,0.0,0.2341
5.660855000000001,25.8774,0.79093,99.765,2.3967,102.16,0.0,0.219
6.0514529999999995,25.6869,0.7036,83.02,2.2682,85.288,0.0,0.2049
6.469004,25.4337,0.62651,69.152,2.1423,71.294,0.0,0.1917
6.9153649999999995,25.044,0.5583899999999999,57.656000000000006,2.0195,59.676,0.0,0.1793
7.392525,24.1983,0.49816000000000005,48.11600000000001,1.9002,50.016000000000005,0.0,0.1677
7.554722,23.4922,0.4801,45.376000000000005,1.8623,47.238,0.0,0.1641
7.670355000000001,22.0515,0.46787,43.553999999999995,1.836,45.39,0.0,0.1616
7.701191000000001,20.3118,0.4647,43.086000000000006,1.829,44.915,0.0,0.161
7.747444000000001,22.0899,3.8913,358.64,1.8187,360.46,316.2,0.16
7.863078,23.698,3.7792,343.19,1.7934,344.98,302.4,0.1577
7.902609,23.9681,3.742,338.11,1.7849,339.89,297.9,0.1569
8.44789,25.5247,3.3364,282.0,1.6738,283.67,248.4,0.1468
9.030794,26.1889,3.0147,238.37,1.5671,239.94,210.4,0.1373
9.653919,26.5956,2.7028,199.9,1.465,201.36,176.9,0.1284
10.320039999999999,26.8641,2.4149,167.08,1.3677,168.45,148.1,0.1201
11.032119999999999,27.0436,2.1541,139.42,1.2753,140.7,123.8,0.1124
11.793339999999999,27.1663,1.9216,116.35,1.1877,117.54,103.4,0.1051
12.60708,27.2503,1.7145,97.104,1.105,98.209,86.45,0.09834
13.476970000000001,27.3072,1.5298,81.05199999999999,1.0272,82.079,72.25,0.092
14.40688,27.3449,1.3652,67.66,0.95414,68.61399999999999,60.38,0.08606
15.40095,27.3695,1.2182,56.477,0.88576,57.363,50.46,0.0805
16.463620000000002,27.4194,1.0783,46.766999999999996,0.8219299999999999,47.589,41.8,0.07531
17.599610000000002,27.4188,0.9543799999999999,38.72,0.76249,39.482,34.62,0.07045
18.813979999999997,27.4105,0.84426,32.041,0.70729,32.748000000000005,28.67,0.0659
20.11215,27.3973,0.7469,26.517,0.65614,27.173000000000002,23.74,0.06165
21.499879999999997,27.3808,0.66081,21.945999999999998,0.6088600000000001,22.555,19.66,0.057670000000000006
22.98338,27.3623,0.5846899999999999,18.165,0.56526,18.73,16.28,0.05395
24.569229999999997,27.343,0.51737,15.036,0.52512,15.561,13.48,0.050460000000000005
26.2645,27.3241,0.45783,12.447000000000001,0.48825,12.935,11.17,0.04721
28.076759999999997,27.3053,0.40326,10.255,0.45445,10.709000000000001,9.208,0.044160000000000005
30.01405,27.2853,0.35466,8.4373,0.42351000000000005,8.8608,7.582000000000001,0.04131
32.08502,27.2654,0.31194,6.942,0.39524000000000004,7.3372,6.244,0.03864
34.29889,27.2463,0.27376999999999996,5.6994,0.36943000000000004,6.0688,5.129,0.03615
36.66551,27.2274,0.23948000000000003,4.6638,0.34592,5.0097,4.198,0.03381
39.19543,27.2091,0.2095,3.8165,0.32450999999999997,4.141,3.435,0.03163
41.89992,27.1916,0.18327000000000002,3.1232,0.30503,3.4282,2.8110000000000004,0.029589999999999998
44.79101,27.1751,0.16034,2.556,0.28733000000000003,2.8433,2.301,0.02768
47.88159,27.1597,0.14027,2.0917,0.27124000000000004,2.3629,1.883,0.025889999999999996
51.18542,27.1453,0.12270999999999999,1.7118,0.25661999999999996,1.9684,1.541,0.02422
54.717209999999994,27.132,0.10735,1.4009,0.24333000000000002,1.6442,1.261,0.02266
58.4927,27.1198,0.09392,1.1465,0.23125,1.3778,1.032,0.0212
62.5287,27.1086,0.08217100000000001,0.9383299999999999,0.22025,1.1586,0.8446,0.01983
66.84318,27.0983,0.071894,0.76799,0.21023000000000003,0.9782200000000001,0.6912,0.01855
71.45536,27.0889,0.062904,0.62858,0.20108,0.8296600000000001,0.5657,0.01735
76.38578000000001,27.0803,0.05504,0.5145,0.19272,0.70722,0.463,0.01623
81.6564,27.0725,0.048079000000000004,0.42041999999999996,0.18505,0.60547,0.3783,0.01518
87.29069,27.0655,0.041842000000000004,0.34226,0.178,0.5202600000000001,0.3079,0.0142
93.31374,27.059,0.036414,0.27864,0.1715,0.45014,0.2506,0.01329
99.75239,27.053,0.031691000000000004,0.22685,0.16549,0.39234,0.204,0.01243
106.6353,27.0476,0.027581,0.18467999999999998,0.1599,0.34458,0.1661,0.01163
113.9931,27.0427,0.024005000000000002,0.15036,0.15469000000000002,0.30505,0.1352,0.010879999999999999
121.8587,27.0383,0.020891999999999997,0.12242,0.14981,0.27223,0.11,0.01017
130.2669,27.0343,0.018184,0.09967000000000001,0.14522000000000002,0.24489,0.08957000000000001,0.009518
139.2553,27.0307,0.015826,0.081151,0.14089000000000002,0.22204000000000002,0.07291,0.008903
148.864,27.0275,0.013775,0.066073,0.13677,0.20284000000000002,0.05935,0.008329000000000001
159.1356,27.0246,0.01199,0.053798,0.13285999999999998,0.18666,0.048310000000000006,0.007790999999999999
170.1159,27.0219,0.010435999999999999,0.043802999999999995,0.12911,0.17290999999999998,0.03932,0.007287999999999999
181.8539,27.0196,0.0090837,0.035666,0.12550999999999998,0.16118,0.032010000000000004,0.006818
194.4018,27.0175,0.0079067,0.029041,0.12204000000000001,0.15108,0.026060000000000003,0.006378
207.8156,27.0156,0.006882300000000001,0.023647,0.11868,0.14232999999999998,0.02121,0.005966
222.1548,27.0139,0.0059908,0.019255,0.11542999999999999,0.13468,0.01726,0.005581
237.4835,27.0124,0.0052147,0.015679,0.11227000000000001,0.12795,0.01405,0.005221
253.8699,27.011,0.0045393000000000005,0.012767,0.10919000000000001,0.12195999999999999,0.01144,0.004884
271.3869,27.0098,0.0039514,0.010395999999999999,0.10618,0.11657999999999999,0.009312,0.004569
290.1126,27.0087,0.0034396,0.008465700000000001,0.10323,0.1117,0.00758,0.004274
310.1304,27.0078,0.0029942,0.0068937,0.10035,0.10724000000000002,0.00617,0.003998
331.5294,27.0069,0.0026065000000000003,0.0056137,0.097526,0.10314000000000001,0.0050219999999999996,0.00374
354.4049,27.0061,0.002269,0.0045714,0.09475399999999999,0.099325,0.0040880000000000005,0.003498
378.8588,27.0055,0.0019752,0.0037226,0.092033,0.095756,0.0033280000000000002,0.003273
405.0001,27.0049,0.0017195,0.0030315000000000003,0.089361,0.092392,0.002709,0.003061
432.9451,27.0043,0.0014969000000000002,0.0024687,0.086737,0.089206,0.002205,0.0028640000000000002
