energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,23.8307,2.7971,1087.9,3.6169,1091.5,0.0,0.5959
2.224304,23.7813,2.5207,917.14,3.5444,920.68,0.0,0.5574
2.377781,23.7276,2.2658,771.17,3.4639,774.63,0.0,0.5214
2.541848,23.6639,2.0299,646.31,3.3762,649.69,0.0,0.4878
2.717235,23.5939,1.8208,542.3,3.282,545.58,0.0,0.4563
2.9047240000000003,23.5212,1.6307,454.35,3.1822,457.53,0.0,0.4268
3.10515,23.4551,1.4474,377.25,3.0777,380.33,0.0,0.3993
3.319406,23.3672,1.2756,311.01,2.9691,313.98,0.0,0.3735
3.5484449999999996,23.2625,1.1254,256.67,2.8575,259.53,0.0,0.3494
3.7932879999999995,23.1453,0.9938,212.03,2.7434,214.77,0.0,0.3269
4.0550239999999995,23.0137,0.87851,175.33,2.6278,177.96,0.0,0.3058
4.334821,22.8622,0.7773800000000001,145.14,2.5113,147.65,0.0,0.286
4.6339239999999995,22.679,0.6886,120.26,2.3946,122.65,0.0,0.2676
4.953664,22.44,0.61057,99.75200000000001,2.2784,102.03,0.0,0.2503
5.2954669999999995,22.0858,0.54194,82.824,2.1633,84.98700000000001,0.0,0.2341
5.660855000000001,21.3981,0.48151000000000005,68.83800000000001,2.0499,70.888,0.0,0.219
5.869416,20.4015,0.4518,62.295,1.9892,64.28399999999999,0.0,0.2112
5.9592540000000005,18.9371,0.43991,59.743,1.964,61.707,0.0,0.2081
5.983211,17.1703,0.43683,59.086000000000006,1.9573,61.043,0.0,0.2072
6.019146,18.9719,3.9165,526.58,1.9474,528.53,468.5,0.206
6.0514529999999995,19.8252,3.8773,518.54,1.9386,520.48,461.3,0.2049
6.1089839999999995,20.6031,3.8091,504.62,1.923,506.54,448.8,0.203
6.469004,22.2661,3.4413,430.52,1.8299,432.35,382.8,0.1917
6.9153649999999995,23.0221,3.0935,362.03,1.7242,363.75,322.3,0.1793
7.392525,23.4637,2.7898,305.41,1.6218,307.03,272.2,0.1677
