energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,9.36013,0.72104,767.55,1.431,768.98,729.2,0.5959
2.224304,9.34689,0.64132,638.62,1.3843,640.0,606.7,0.5574
2.377781,9.33207,0.57033,531.27,1.3361,532.61,504.6,0.5214
2.541848,9.31652,0.5071399999999999,441.92,1.2868,443.21,419.7,0.4878
2.717235,9.30109,0.45093,367.58,1.2368,368.82,349.1,0.4563
2.9047240000000003,9.28588,0.39862,303.96,1.1863,305.15,288.5,0.4268
3.10515,9.26977,0.35055,250.05,1.1358,251.19,237.3,0.3993
3.319406,9.25188,0.30701999999999996,204.87,1.0855,205.96,194.4,0.3735
3.5484449999999996,9.23378,0.26891,167.85,1.0356,168.89,159.3,0.3494
3.7932879999999995,9.21598,0.23553000000000002,137.53,0.98651,138.52,130.5,0.3269
4.0550239999999995,9.19881,0.20629,112.68,0.9383600000000001,113.62,106.9,0.3058
4.334821,9.18245,0.18068,92.321,0.89138,93.212,87.6,0.286
4.6339239999999995,9.167,0.15825,75.642,0.84575,76.488,71.78,0.2676
4.953664,9.15253,0.13860999999999998,61.977,0.80161,62.778999999999996,58.81,0.2503
5.2954669999999995,9.13905,0.12140999999999999,50.782,0.7591,51.541000000000004,48.18,0.2341
5.660855000000001,9.126539999999999,0.10634,41.608999999999995,0.71832,42.327,39.48,0.219
6.0514529999999995,9.115,0.09314700000000001,34.093,0.6793399999999999,34.772,32.34,0.2049
6.469004,9.10438,0.08159,27.936,0.64223,28.578000000000003,26.5,0.1917
6.9153649999999995,9.09464,0.071467,22.89,0.60701,23.497,21.71,0.1793
7.392525,9.08575,0.062601,18.757,0.57371,19.331,17.79,0.1677
7.902609,9.07766,0.054836,15.369000000000002,0.54232,15.911,14.57,0.1569
8.44789,9.07041,0.048034,12.594000000000001,0.5128199999999999,13.107000000000001,11.94,0.1468
9.030794,9.064119999999999,0.041998,10.300999999999998,0.48518,10.786,9.765,0.1373
9.653919,9.05787,0.036478,8.3693,0.45936000000000005,8.8287,7.934,0.1284
10.320039999999999,9.05214,0.031684,6.8001,0.4353,7.2354,6.446000000000001,0.1201
11.032119999999999,9.04693,0.02752,5.5252,0.41293,5.9381,5.2379999999999995,0.1124
11.793339999999999,9.04219,0.023903,4.4893,0.39218000000000003,4.8815,4.255,0.1051
12.60708,9.0379,0.020762,3.6477,0.37296999999999997,4.0207,3.458,0.09834
13.476970000000001,9.03403,0.01798,2.955,0.35523000000000005,3.3102,2.8,0.092
14.40688,9.0305,0.015549,2.3905,0.33886,2.7294,2.265,0.08606
15.40095,9.02731,0.013444999999999999,1.9337,0.32377,2.2575,1.8319999999999999,0.0805
16.463620000000002,9.02442,0.011626000000000001,1.5641,0.30988000000000004,1.874,1.482,0.07531
17.599610000000002,9.02183,0.010053,1.2652,0.2971,1.5623,1.198,0.07045
18.813979999999997,9.01949,0.0086933,1.0234,0.28534,1.3087,0.9691,0.0659
20.11215,9.017389999999999,0.0075172,0.8278700000000001,0.27453,1.1024,0.7838,0.06165
21.499879999999997,9.01551,0.0065003,0.66967,0.26456,0.9342299999999999,0.6339,0.057670000000000006
22.98338,9.013819999999999,0.005621,0.5417,0.25538,0.79708,0.5127,0.05395
24.569229999999997,9.012310000000001,0.0048606000000000005,0.43818999999999997,0.2469,0.68509,0.4147,0.050460000000000005
26.2645,9.01096,0.0042031,0.35446,0.23905,0.59351,0.3354,0.04721
28.076759999999997,9.00976,0.0036201999999999996,0.28559,0.23178,0.51737,0.2702,0.044160000000000005
30.01405,9.00868,0.0031141,0.22981,0.225,0.45481000000000005,0.2174,0.04131
32.08502,9.007719999999999,0.0026787,0.18492,0.21868,0.4036,0.1749,0.03864
34.29889,9.00685,0.0023041999999999997,0.1488,0.21275,0.36155,0.1407,0.03615
36.66551,9.00608,0.0019820999999999997,0.11974000000000001,0.20718000000000003,0.32692,0.1132,0.03381
39.19543,9.00539,0.0017050000000000001,0.09635099999999999,0.20190999999999998,0.29825999999999997,0.09106,0.03163
41.89992,9.00478,0.0014667,0.077532,0.1969,0.27443,0.07326,0.029589999999999998
44.79101,9.00424,0.0012615999999999999,0.062389,0.19213,0.25451999999999997,0.05894,0.02768
47.88159,9.00375,0.0010853,0.050203,0.18756,0.23776,0.04742,0.025889999999999996
51.18542,9.00332,0.00093356,0.040398,0.18317,0.22357,0.03815,0.02422
54.717209999999994,9.002939999999999,0.00080306,0.032507999999999995,0.17893,0.21144000000000002,0.03069,0.02266
58.4927,9.0026,0.00069081,0.026158999999999998,0.17482,0.20098,0.02469,0.0212
62.5287,9.0023,0.00059424,0.02105,0.17082,0.19187,0.01987,0.01983
66.84318,9.00204,0.00051118,0.016939,0.16693,0.18387,0.01598,0.01855
71.45536,9.0018,0.00043973,0.013630000000000001,0.16312000000000001,0.17675,0.01286,0.01735
76.38578000000001,9.00159,0.00037826,0.010968,0.15939,0.17035999999999998,0.01035,0.01623
81.6564,9.0014,0.00032542,0.008827,0.15573,0.16455999999999998,0.008324,0.01518
87.29069,9.00124,0.00028001,0.007104999999999999,0.15214,0.15924000000000002,0.006698999999999999,0.0142
93.31374,9.0011,0.00024094,0.005719,0.1486,0.15432,0.005391,0.01329
99.75239,9.00097,0.00020732,0.0046033,0.14512,0.14972,0.004339,0.01243
106.6353,9.00085,0.00017839,0.0037053000000000003,0.1417,0.14540999999999998,0.0034920000000000003,0.01163
113.9931,9.00075,0.0001535,0.0029825,0.13833,0.14131,0.00281,0.010879999999999999
121.8587,9.00066,0.00013208,0.0024007,0.13501,0.13741,0.002261,0.01017
130.2669,9.000589999999999,0.00011365,0.0019324000000000001,0.13174,0.13367,0.00182,0.009518
139.2553,9.00052,9.7791e-05,0.0015554,0.12853,0.13009,0.001465,0.008903
148.864,9.00046,8.4146e-05,0.0012519999999999999,0.12538,0.12663,0.001179,0.008329000000000001
159.1356,9.0004,7.2405e-05,0.0010077999999999999,0.12228,0.12329000000000001,0.0009484999999999999,0.007790999999999999
170.1159,9.00035,6.2302e-05,0.00081119,0.11925,0.12005999999999999,0.0007633,0.007287999999999999
181.8539,9.00031,5.3608999999999994e-05,0.00065295,0.11627,0.11692000000000001,0.0006143,0.006818
194.4018,9.00027,4.6129e-05,0.00052558,0.11335,0.11388,0.0004944,0.006378
207.8156,9.00024,3.9693e-05,0.00042306,0.11051,0.11093,0.0003978,0.005966
222.1548,9.000210000000001,3.4155e-05,0.00034053,0.10772000000000001,0.10805999999999999,0.0003202,0.005581
237.4835,9.00019,2.9389e-05,0.00027411,0.10500999999999999,0.10528,0.0002577,0.005221
253.8699,9.000169999999999,2.5289e-05,0.00022064,0.10237,0.10259000000000001,0.00020739999999999997,0.004884
