energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,1.00017,2.898e-05,0.58144,0.39676,0.9782,0.5814,0.5959
2.224304,1.00015,2.4676999999999998e-05,0.46313999999999994,0.38743,0.85057,0.4631,0.5574
2.377781,1.00013,2.1006999999999997e-05,0.36880999999999997,0.37944,0.74825,0.3688,0.5214
2.541848,1.00011,1.7878e-05,0.29362,0.37272,0.6663399999999999,0.2936,0.4878
2.717235,1.0001,1.5210999999999999e-05,0.2337,0.36721,0.60091,0.2337,0.4563
2.9047240000000003,1.00009,1.294e-05,0.18597,0.36283000000000004,0.5488,0.186,0.4268
3.10515,1.0000799999999999,1.1005e-05,0.14795,0.3595,0.50745,0.1479,0.3993
3.319406,1.00007,9.3572e-06,0.11767999999999999,0.35714,0.47481999999999996,0.1177,0.3735
3.5484449999999996,1.00006,7.9549e-06,0.093586,0.35567,0.44926000000000005,0.09358999999999999,0.3494
3.7932879999999995,1.00005,6.7614999999999996e-06,0.074412,0.355,0.42941,0.07441,0.3269
4.0550239999999995,1.00005,5.7461e-06,0.05915599999999999,0.35506,0.41422,0.059160000000000004,0.3058
4.334821,1.00004,4.8825e-06,0.047021,0.35575,0.40276999999999996,0.04702,0.286
4.6339239999999995,1.00004,4.1481e-06,0.03737,0.357,0.39437,0.03737,0.2676
4.953664,1.00003,3.5237000000000002e-06,0.029695999999999997,0.35872,0.38842,0.0297,0.2503
5.2954669999999995,1.00003,2.993e-06,0.023594999999999998,0.36084,0.38444,0.02359,0.2341
5.660855000000001,1.0000200000000001,2.5419e-06,0.018744999999999998,0.36328,0.38201999999999997,0.01875,0.219
6.0514529999999995,1.0000200000000001,2.1586e-06,0.014891,0.36596,0.38085,0.01489,0.2049
6.469004,1.0000200000000001,1.833e-06,0.011829000000000001,0.36882,0.38065,0.01183,0.1917
