energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,2.00331,0.0010919,5.5165,0.36855,5.885,5.516,0.5959
2.224304,2.00294,0.00092851,4.3882,0.35844000000000004,4.7466,4.388,0.5574
2.377781,2.0026,0.00078905,3.4884,0.34825,3.8366,3.488,0.5214
2.541848,2.00231,0.00067012,2.7714,0.33807,3.1095,2.7710000000000004,0.4878
2.717235,2.00204,0.00056878,2.2005,0.32800999999999997,2.5285,2.2,0.4563
2.9047240000000003,2.00181,0.00048249,1.7461,0.31816,2.0643,1.746,0.4268
3.10515,2.0016,0.00040907,1.3849,0.30858,1.6935,1.385,0.3993
3.319406,2.00141,0.00034664,1.0978,0.29936,1.3972,1.0979999999999999,0.3735
3.5484449999999996,2.00125,0.0002936,0.8697799999999999,0.29055,1.1603,0.8698,0.3494
3.7932879999999995,2.0011,0.00024855,0.68881,0.2822,0.97101,0.6888,0.3269
4.0550239999999995,2.00097,0.00021033,0.54525,0.27435,0.8196,0.5453,0.3058
4.334821,2.00086,0.00017791,0.43144,0.26703000000000005,0.69847,0.4314,0.286
4.6339239999999995,2.0007599999999996,0.00015043,0.34124,0.26024,0.60148,0.3412,0.2676
4.953664,2.00067,0.00012714,0.26981,0.25401,0.52382,0.2698,0.2503
5.2954669999999995,2.0005900000000003,0.00010743,0.21325999999999998,0.24831999999999999,0.46158000000000005,0.2133,0.2341
5.660855000000001,2.00052,9.074e-05,0.1685,0.24318,0.41168000000000005,0.1685,0.219
6.0514529999999995,2.00046,7.662399999999999e-05,0.13310999999999998,0.23856999999999998,0.37168,0.1331,0.2049
6.469004,2.0004,6.4687e-05,0.10512,0.23446,0.33958,0.1051,0.1917
6.9153649999999995,2.00035,5.4596000000000004e-05,0.082993,0.23083,0.31382,0.08299,0.1793
7.392525,2.00031,4.607e-05,0.065512,0.22764,0.29315,0.06551,0.1677
7.902609,2.00027,3.8868e-05,0.05170399999999999,0.22487,0.27657,0.0517,0.1569
8.44789,2.0002400000000002,3.2786999999999996e-05,0.040799,0.22246999999999997,0.26327,0.0408,0.1468
9.030794,2.00021,2.7654e-05,0.032189999999999996,0.2204,0.25259000000000004,0.032189999999999996,0.1373
9.653919,2.0001900000000004,2.3321999999999998e-05,0.025394999999999997,0.21863000000000002,0.24402,0.0254,0.1284
10.320039999999999,2.0001599999999997,1.9667e-05,0.020033000000000002,0.21711,0.23714000000000002,0.020030000000000003,0.1201
11.032119999999999,2.00014,1.6584000000000002e-05,0.015802,0.2158,0.2316,0.0158,0.1124
11.793339999999999,2.00013,1.3984e-05,0.012465,0.21466,0.22712,0.012459999999999999,0.1051
12.60708,2.00011,1.1791e-05,0.009831900000000001,0.21365,0.22348,0.009831999999999999,0.09834
13.476970000000001,2.0001,9.9427e-06,0.0077554,0.21273000000000003,0.22049000000000002,0.007755,0.092
14.40688,2.00009,8.3843e-06,0.0061177,0.21186999999999998,0.21799000000000002,0.006118,0.08606
15.40095,2.00007,7.0708e-06,0.0048263,0.21104,0.21586999999999998,0.0048259999999999996,0.0805
16.463620000000002,2.00007,5.9636e-06,0.0038078000000000005,0.2102,0.21400999999999998,0.0038079999999999998,0.07531
17.599610000000002,2.00006,5.0304e-06,0.0030047,0.20933000000000002,0.21233000000000002,0.003005,0.07045
18.813979999999997,2.00005,4.2439e-06,0.0023713000000000002,0.20840999999999998,0.21078000000000002,0.0023710000000000003,0.0659
20.11215,2.0000400000000003,3.581e-06,0.0018716999999999998,0.2074,0.20926999999999998,0.001872,0.06165
21.499879999999997,2.0000400000000003,3.0223000000000003e-06,0.0014777000000000002,0.20631,0.20779,0.001478,0.057670000000000006
22.98338,2.0000299999999998,2.5513e-06,0.0011669,0.2051,0.20626999999999998,0.001167,0.05395
24.569229999999997,2.0000299999999998,2.1543000000000003e-06,0.00092172,0.20377,0.20469,0.0009217,0.050460000000000005
26.2645,2.0000299999999998,1.8195e-06,0.00072825,0.20231,0.20304,0.0007283,0.04721
28.076759999999997,2.00002,1.5372999999999999e-06,0.00057557,0.20071,0.20129,0.0005756,0.044160000000000005
30.01405,2.00002,1.2991999999999998e-06,0.00045505,0.19896,0.19942000000000001,0.000455,0.04131
32.08502,2.00002,1.0984e-06,0.00035989,0.19707,0.19743,0.00035989999999999997,0.03864
34.29889,2.00002,9.2904e-07,0.00028474,0.19504000000000002,0.19532,0.0002847,0.03615
36.66551,2.00001,7.860899999999999e-07,0.00022538,0.19287,0.1931,0.0002254,0.03381
39.19543,2.00001,6.6542e-07,0.00017847,0.19055,0.19072999999999998,0.0001785,0.03163
41.89992,2.00001,5.6354e-07,0.00014138,0.18811,0.18825,0.00014140000000000002,0.029589999999999998
44.79101,2.00001,4.774800000000001e-07,0.00011206,0.18554,0.18565,0.0001121,0.02768
47.88159,2.00001,4.0478e-07,8.8867e-05,0.18284,0.18293,8.887e-05,0.025889999999999996
51.18542,2.00001,3.4333e-07,7.0511e-05,0.18004,0.18011,7.051e-05,0.02422
54.717209999999994,2.00001,2.9137e-07,5.5978000000000005e-05,0.17714000000000002,0.1772,5.598e-05,0.02266
58.4927,2.00001,2.4742e-07,4.4466000000000004e-05,0.17415,0.17419,4.447e-05,0.0212
62.5287,2.0,2.1023000000000002e-07,3.5344e-05,0.17107999999999998,0.17112,3.534e-05,0.01983
66.84318,2.0,1.7875e-07,2.8111e-05,0.16794,0.16797,2.811e-05,0.01855
71.45536,2.0,1.5208e-07,2.2373e-05,0.16474,0.16476,2.237e-05,0.01735
76.38578000000001,2.0,1.2948e-07,1.7819e-05,0.16149000000000002,0.16151,1.782e-05,0.01623
81.6564,2.0,1.1032e-07,1.4202e-05,0.15821,0.15822,1.42e-05,0.01518
87.29069,2.0,9.405900000000001e-08,1.1327e-05,0.1549,0.15491,1.133e-05,0.0142
93.31374,2.0,8.025999999999999e-08,9.0416e-06,0.15158,0.15159,9.042e-06,0.01329
