energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,31.5783,3.3776,735.23,6.0412,741.27,0.0,0.5959
2.224304,29.5666,3.0723,625.61,5.9621,631.57,0.0,0.5574
2.32309,26.27,2.8904,563.53,5.9024,569.43,0.0,0.5337
2.358648,22.3765,2.8297,543.38,5.8801,549.26,0.0,0.5257
2.36813,17.9815,2.8139,538.19,5.8741,544.06,0.0,0.5236
2.377781,20.8709,11.274000000000001,2147.6,5.8679,2153.5,0.0,0.5214
2.3823529999999997,22.1655,11.232000000000001,2135.4,5.865,2141.3,0.0,0.5204
2.415406,25.3224,10.933,2050.1,5.8437,2055.9,0.0,0.5133
2.41791,25.4136,10.911,2043.8,5.842,2049.6,0.0,0.5128
2.4523759999999997,25.2771,10.612,1960.0,5.8194,1965.8,0.0,0.5056
2.4622349999999997,23.4796,10.53,1936.9,5.8129,1942.7,0.0,0.5035
2.477023,26.045,14.574000000000002,2665.0,5.8031,2670.8,0.0,0.5005
2.513994,28.7649,14.182,2555.1,5.7784,2560.9,0.0,0.4932
2.541848,29.8378,13.909,2478.4,5.7595,2484.2,0.0,0.4878
2.6437459999999997,31.7857,13.024000000000001,2231.4,5.6894,2237.1,0.0,0.469
2.684212,31.6513,12.715,2145.6,5.6612,2151.3,0.0,0.4619
2.695002,30.8499,12.636,2123.6,5.6536,2129.3,0.0,0.4601
2.711189,32.0413,14.411,2407.4,5.6422,2413.0,0.0,0.4573
2.717235,32.3528,14.364,2394.3,5.638,2399.9,0.0,0.4563
2.7516540000000003,33.4274,14.102,2321.3,5.6137,2326.9,0.0,0.4506
2.9047240000000003,35.7728,13.054,2035.5,5.5044,2041.0,0.0,0.4268
3.10515,37.5651,11.824000000000002,1724.7,5.36,1730.1,0.0,0.3993
3.319406,38.7342,10.626,1450.0,5.206,1455.2,0.0,0.3735
3.5484449999999996,39.5227,9.5442,1218.2,5.0436,1223.2,0.0,0.3494
3.7932879999999995,40.0708,8.5721,1023.5,4.8741,1028.4,0.0,0.3269
4.0550239999999995,40.4564,7.7022,860.31,4.6987,865.01,0.0,0.3058
4.334821,40.7284,6.9255,723.62,4.5187,728.14,0.0,0.286
4.6339239999999995,40.9221,6.2323,609.16,4.3353,613.5,0.0,0.2676
4.953664,41.1966,5.5898,511.09,4.1497,515.24,0.0,0.2503
5.2954669999999995,41.2671,4.9939,427.14,3.9629,431.1,0.0,0.2341
5.660855000000001,41.3296,4.4558,356.52,3.776,360.3,0.0,0.219
6.0514529999999995,41.3149,3.9755,297.56,3.5901,301.15,0.0,0.2049
6.469004,41.275,3.5503,248.57,3.406,251.98,0.0,0.1917
6.9153649999999995,41.2187,3.1728,207.81,3.2245,211.03,0.0,0.1793
7.392525,41.1509,2.8352,173.71,3.0465,176.76,0.0,0.1677
7.902609,41.0753,2.5355,145.32,2.8726,148.19,0.0,0.1569
8.44789,40.9963,2.2696,121.68,2.7034,124.38,0.0,0.1468
9.030794,40.9235,2.0284,101.73,2.5394,104.27,0.0,0.1373
9.653919,40.8335,1.7989,84.40100000000001,2.381,86.78200000000001,0.0,0.1284
10.320039999999999,40.7336,1.5966,70.071,2.2287,72.3,0.0,0.1201
11.032119999999999,40.626,1.4125,57.992,2.0826,60.075,0.0,0.1124
11.793339999999999,40.509,1.2492,47.978,1.943,49.92100000000001,0.0,0.1051
12.60708,40.3794,1.1014,39.569,1.81,41.379,0.0,0.09834
13.476970000000001,40.2325,0.9718899999999999,32.663000000000004,1.6837,34.347,0.0,0.092
14.40688,40.061,0.8584299999999999,26.988000000000003,1.5642,28.552,0.0,0.08606
15.40095,39.8477,0.7589100000000001,22.319000000000003,1.4513,23.77,0.0,0.0805
16.463620000000002,39.5528,0.6714899999999999,18.473,1.3451,19.817999999999998,0.0,0.07531
17.599610000000002,39.0503,0.59468,15.304,1.2454,16.549,0.0,0.07045
18.60589,37.8959,0.5378,13.092,1.1672,14.259,0.0,0.06663999999999999
18.813979999999997,37.1442,0.5271399999999999,12.69,1.152,13.842,0.0,0.0659
18.89067,36.5692,0.5232899999999999,12.547,1.1465,13.694,0.0,0.06563
18.96661,34.9713,0.51953,12.407,1.1412,13.548,0.0,0.06537000000000001
19.08053,36.5985,3.6636,86.96700000000001,1.1331,88.1,74.77,0.06498
19.36531,38.0702,3.5646,83.37200000000001,1.1136,84.486,71.67,0.06402000000000001
20.11215,39.2483,3.3283,74.955,1.0649,76.02,64.42,0.06165
21.499879999999997,40.0917,2.9812,62.803000000000004,0.98367,63.787,54.05,0.057670000000000006
22.98338,40.54,2.6792,52.799,0.90822,53.707,45.52,0.05395
24.569229999999997,40.8303,2.408,44.391999999999996,0.8382700000000001,45.23,38.34,0.050460000000000005
26.2645,41.0302,2.1563,37.185,0.77357,37.959,32.14,0.04721
28.076759999999997,41.1681,1.9214,30.997,0.71386,31.711,26.84,0.044160000000000005
30.01405,41.2581,1.71,25.805,0.65886,26.464000000000002,22.4,0.04131
32.08502,41.3169,1.522,21.485,0.60831,22.093000000000004,18.68,0.03864
34.29889,41.354,1.3548,17.891,0.56192,18.453,15.59,0.03615
36.66551,41.3762,1.2062,14.9,0.51944,15.419,13.0,0.03381
39.19543,41.4228,1.07,12.364,0.4806,12.845,10.8,0.03163
41.89992,41.4217,0.9454100000000001,10.22,0.44514,10.665,8.934,0.029589999999999998
44.79101,41.4125,0.83542,8.4478,0.41281999999999996,8.8606,7.3870000000000005,0.02768
