energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,11.3134,0.37279,243.41,2.2187,245.63,0.0,0.5959
2.10259,10.8633,0.36641,236.76,2.2115,238.97,0.0,0.5897
2.1347720000000003,9.284310000000001,0.35735,227.42,2.2008,229.62,0.0,0.5808
2.143354,7.39192,0.355,225.02,2.198,227.22,0.0,0.5785
2.156227,9.29308,4.0785,2569.8,2.1937,2572.0,2348.0,0.575
2.1884099999999997,11.0202,4.0118,2490.6,2.1829,2492.8,2278.0,0.5665
2.224304,11.8112,3.9399,2406.5,2.1707,2408.7,2202.0,0.5574
2.377781,13.2998,3.5859,2048.9,2.1182,2051.0,1878.0,0.5214
2.541848,14.0078,3.2218,1722.0,2.0616,1724.1,1578.0,0.4878
2.717235,14.4377,2.887,1443.5,2.0014,1445.5,1323.0,0.4563
2.9047240000000003,14.725,2.5936,1213.1,1.9383,1215.0,1112.0,0.4268
3.10515,14.9354,2.3262,1017.8,1.8725,1019.7,934.1,0.3993
3.319406,15.0821,2.0806,851.56,1.8048,853.36,782.4,0.3735
3.5484449999999996,15.1854,1.8611,712.57,1.7355,714.31,655.3,0.3494
3.7932879999999995,15.2583,1.664,595.97,1.6653,597.64,548.9,0.3269
4.0550239999999995,15.3093,1.4879,498.49,1.5944,500.08,459.7,0.3058
4.334821,15.3912,1.3284,416.34,1.5234,417.86,384.4,0.286
4.6339239999999995,15.4105,1.1761,344.81,1.4526,346.26,318.5,0.2676
4.953664,15.4155,1.0413,285.58,1.3825,286.96,263.9,0.2503
5.2954669999999995,15.4114,0.92199,236.54,1.3134,237.85,218.6,0.2341
5.660855000000001,15.4013,0.8164,195.93,1.2456,197.18,181.1,0.219
6.0514529999999995,15.3871,0.7229300000000001,162.3,1.1793,163.48,150.1,0.2049
6.469004,15.3703,0.6402,134.45,1.1149,135.56,124.3,0.1917
6.9153649999999995,15.3519,0.56693,111.38,1.0526,112.43,103.0,0.1793
7.392525,15.3326,0.50207,92.26799999999999,0.99245,93.26,85.35,0.1677
7.902609,15.3133,0.44464,76.44,0.9346700000000001,77.375,70.71,0.1569
8.44789,15.2943,0.3938,63.33,0.87935,64.209,58.58,0.1468
9.030794,15.2766,0.34826,52.391000000000005,0.8265899999999999,53.218,48.47,0.1373
9.653919,15.259,0.30528,42.961999999999996,0.77642,43.738,39.77,0.1284
10.320039999999999,15.2404,0.26689,35.135,0.7288899999999999,35.864000000000004,32.53,0.1201
11.032119999999999,15.222,0.23334000000000002,28.735,0.68399,29.419,26.61,0.1124
11.793339999999999,15.2041,0.20401,23.502,0.64171,24.144000000000002,21.76,0.1051
12.60708,15.187,0.17837999999999998,19.222,0.60201,19.824,17.8,0.09834
13.476970000000001,15.171,0.15596,15.722000000000001,0.56483,16.287,14.56,0.092
14.40688,15.1559,0.13637,12.86,0.53012,13.39,11.91,0.08606
15.40095,15.1419,0.11924000000000001,10.519,0.49778999999999995,11.017000000000001,9.741,0.0805
16.463620000000002,15.129,0.10427,8.6043,0.46775,9.0721,7.968,0.07531
17.599610000000002,15.117,0.091177,7.0383,0.4399,7.4782,6.517,0.07045
18.813979999999997,15.1061,0.079731,5.7575,0.41413999999999995,6.1716,5.331,0.0659
20.11215,15.096,0.06972300000000001,4.7098,0.39036,5.1002,4.36,0.06165
21.499879999999997,15.0869,0.060972000000000005,3.8528,0.36845,4.2213,3.5669999999999997,0.057670000000000006
22.98338,15.0785,0.053321,3.1519,0.3483,3.5002,2.917,0.05395
24.569229999999997,15.071,0.04663,2.5785,0.32979,2.9083,2.386,0.050460000000000005
26.2645,15.0642,0.040780000000000004,2.1094,0.31282,2.4222,1.952,0.04721
28.076759999999997,15.0579,0.035454,1.7155,0.29725999999999997,2.0128,1.587,0.044160000000000005
30.01405,15.0521,0.030764,1.3925,0.28302,1.6755,1.2890000000000001,0.04131
32.08502,15.0469,0.026694,1.1303,0.26999,1.4003,1.046,0.03864
34.29889,15.0421,0.023163999999999997,0.91751,0.25806999999999997,1.1756,0.8492,0.03615
36.66551,15.0377,0.0201,0.7447699999999999,0.24716,0.99193,0.6893,0.03381
39.19543,15.0338,0.017442,0.60456,0.23717,0.84173,0.5596,0.03163
41.89992,15.0303,0.015135,0.49075,0.22801999999999997,0.71877,0.4543,0.029589999999999998
44.79101,15.0271,0.013134,0.39837,0.21963000000000002,0.618,0.3688,0.02768
47.88159,15.0242,0.011368000000000001,0.32254,0.21191999999999997,0.53446,0.2985,0.025889999999999996
51.18542,15.0216,0.009827299999999999,0.26084,0.20481999999999997,0.46566,0.2413,0.02422
54.717209999999994,15.0193,0.0084957,0.21094000000000002,0.19827,0.40921,0.1951,0.02266
58.4927,15.0172,0.0073447,0.17059000000000002,0.1922,0.36279,0.1577,0.0212
62.5287,15.0154,0.0063496,0.13796,0.18656,0.32452,0.1275,0.01983
66.84318,15.0137,0.0054893,0.11157,0.1813,0.29286999999999996,0.1031,0.01855
71.45536,15.0122,0.0047457,0.09022899999999999,0.17638,0.26661,0.08335,0.01735
76.38578000000001,15.0108,0.0041028,0.07297100000000001,0.17175,0.24472,0.06738999999999999,0.01623
81.6564,15.0096,0.0035472999999999998,0.059019,0.16738,0.2264,0.054479999999999994,0.01518
87.29069,15.0085,0.0030675,0.047742,0.16323,0.21097,0.044039999999999996,0.0142
93.31374,15.0076,0.0026526999999999996,0.038620999999999996,0.15928,0.1979,0.03561,0.01329
99.75239,15.0067,0.002294,0.031242000000000002,0.15549000000000002,0.18673,0.028789999999999996,0.01243
106.6353,15.006,0.0019838,0.025274,0.15185,0.17712,0.02327,0.01163
