energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0237979999999998,27.5287,13.09,3184.6,5.4059,3190.0,0.0,0.6126
2.054774,27.3506,12.769,3059.8,5.3916,3065.2,0.0,0.6034
2.0630349999999997,26.531,12.687000000000001,3027.9,5.3877,3033.3,0.0,0.601
2.075425,27.7221,14.48,3435.0,5.3818,3440.4,0.0,0.5974
2.0807330000000004,28.072,14.424000000000001,3413.0,5.3792,3418.4,0.0,0.5959
2.106402,29.0967,14.161,3310.1,5.3667,3315.5,0.0,0.5886
2.224304,31.4076,13.092,2897.9,5.3052,2903.2,0.0,0.5574
2.377781,33.1215,11.929,2470.0,5.2179,2475.2,0.0,0.5214
2.541848,34.3107,10.815999999999999,2095.0,5.118,2100.1,0.0,0.4878
2.717235,35.1644,9.7911,1774.1,5.0066,1779.1,0.0,0.4563
2.9047240000000003,35.7995,8.8531,1500.6,4.8847,1505.5,0.0,0.4268
3.10515,36.2964,7.9746,1264.5,4.7534,1269.3,0.0,0.3993
3.319406,36.615,7.1601,1062.0,4.6137,1066.6,0.0,0.3735
3.5484449999999996,36.8409,6.4342,892.76,4.4669,897.23,0.0,0.3494
3.7932879999999995,37.1467,5.7579,747.35,4.3139,751.66,0.0,0.3269
4.0550239999999995,37.2307,5.1392,623.99,4.156,628.15,0.0,0.3058
4.334821,37.3083,4.5792,520.11,3.9943,524.1,0.0,0.286
4.6339239999999995,37.3012,4.0776,433.24,3.8298,437.07,0.0,0.2676
4.953664,37.2647,3.6308,360.87,3.6636,364.53,0.0,0.2503
5.2954669999999995,37.2079,3.2358,300.85,3.4966,304.35,0.0,0.2341
5.660855000000001,37.1377,2.8864,251.04,3.3299,254.37,0.0,0.219
6.0514529999999995,37.0586,2.577,209.67,3.1642,212.83,0.0,0.2049
6.469004,36.9737,2.3017,175.18,3.0004,178.18,0.0,0.1917
6.9153649999999995,36.8848,2.0576,146.5,2.8391,149.34,0.0,0.1793
7.392525,36.7938,1.8411,122.62,2.6812,125.3,0.0,0.1677
7.902609,36.7023,1.648,102.67,2.5271,105.2,0.0,0.1569
8.44789,36.6083,1.4703,85.691,2.3773,88.068,0.0,0.1468
9.030794,36.5147,1.3082,71.32,2.2324,73.55199999999999,0.0,0.1373
9.653919,36.4009,1.1491,58.603,2.0926,60.696000000000005,0.0,0.1284
10.320039999999999,36.2685,1.0103,48.201,1.9582,50.159,0.0,0.1201
11.032119999999999,36.1154,0.88918,39.683,1.8296,41.513000000000005,0.0,0.1124
11.793339999999999,35.9319,0.78333,32.703,1.7068,34.41,0.0,0.1051
12.60708,35.6954,0.69075,26.976,1.59,28.566,0.0,0.09834
13.476970000000001,35.3489,0.6097,22.274,1.4791,23.753,0.0,0.092
14.40688,34.6753,0.53867,18.409000000000002,1.3743,19.783,0.0,0.08606
14.895710000000001,33.7901,0.5065,16.742,1.3242,18.066,0.0,0.08323
15.1237,32.428,0.49254,16.035,1.3018,17.337,0.0,0.08198
15.1845,30.7845,0.48891999999999997,15.853,1.296,17.149,0.0,0.08165
15.2757,32.4638,3.7245,120.04,1.2873,121.33,104.5,0.08116
15.40095,33.5245,3.6643,117.14,1.2755,118.42,101.9,0.0805
15.503689999999999,33.982,3.6159,114.83,1.266,116.1,99.89,0.07997
16.463620000000002,35.5543,3.2333,96.694,1.1826,97.87700000000001,84.08,0.07531
17.599610000000002,36.2184,2.8978,81.066,1.0955,82.162,70.61,0.07045
18.813979999999997,36.605,2.6097,68.293,1.014,69.307,59.62,0.0659
20.11215,36.8702,2.3484,57.49,0.93799,58.428000000000004,50.29,0.06165
21.499879999999997,37.052,2.1007,48.106,0.86725,48.973,42.12,0.057670000000000006
22.98338,37.1762,1.8765,40.198,0.8015800000000001,41.0,35.22,0.05395
24.569229999999997,37.2613,1.6749,33.564,0.7407600000000001,34.305,29.42,0.050460000000000005
26.2645,37.3198,1.4947,28.02,0.68455,28.705,24.57,0.04721
28.076759999999997,37.3592,1.3296,23.316,0.63272,23.949,20.47,0.044160000000000005
30.01405,37.3806,1.1815,19.381,0.58501,19.965999999999998,17.04,0.04131
32.08502,37.4248,1.0446,16.029,0.54119,16.57,14.11,0.03864
34.29889,37.4215,0.9225399999999999,13.243,0.50102,13.744000000000002,11.66,0.03615
36.66551,37.411,0.81482,10.942,0.46424,11.405999999999999,9.639,0.03381
39.19543,37.3958,0.7197,9.0405,0.43063999999999997,9.4711,7.9670000000000005,0.03163
41.89992,37.3776,0.63565,7.4694,0.39997,7.8694,6.586,0.029589999999999998
44.79101,37.3576,0.5613600000000001,6.1706,0.37201999999999996,6.5426,5.444,0.02768
47.88159,37.3367,0.49551999999999996,5.0953,0.34659,5.4419,4.5,0.025889999999999996
51.18542,37.3153,0.43743000000000004,4.2076,0.32345999999999997,4.5311,3.72,0.02422
54.717209999999994,37.2942,0.38618,3.4749,0.30244,3.7773,3.075,0.02266
58.4927,37.2736,0.34095,2.8699,0.28335,3.1532,2.542,0.0212
62.5287,37.2538,0.30104000000000003,2.3704,0.26603000000000004,2.6364,2.101,0.01983
66.84318,37.2352,0.26552,1.9558,0.25031,2.2061,1.734,0.01855
71.45536,37.2171,0.23329,1.6074,0.23604,1.8434,1.426,0.01735
76.38578000000001,37.1997,0.20496999999999999,1.3212,0.22308000000000003,1.5443,1.172,0.01623
81.6564,37.1841,0.17991,1.0848,0.2113,1.2961,0.9619,0.01518
87.29069,37.1686,0.15755,0.88866,0.20058,1.0892,0.7877,0.0142
93.31374,37.1539,0.13798,0.72801,0.19082000000000002,0.9188299999999999,0.6451,0.01329
99.75239,37.1401,0.12084,0.59643,0.18192,0.77835,0.5283,0.01243
106.6353,37.1273,0.10583,0.48865,0.17377,0.66242,0.4326,0.01163
113.9931,37.1155,0.092695,0.40036,0.1663,0.56666,0.3543,0.010879999999999999
121.8587,37.1046,0.081191,0.32804,0.15943,0.48746999999999996,0.2901,0.01017
130.2669,37.0947,0.071118,0.26879000000000003,0.1531,0.42189,0.2376,0.009518
139.2553,37.0855,0.062296000000000004,0.22025999999999998,0.14724,0.3675,0.1946,0.008903
148.864,37.0772,0.054571,0.18049,0.1418,0.32229,0.1593,0.008329000000000001
159.1356,37.0696,0.047806,0.14790999999999999,0.13672,0.28463,0.1305,0.007790999999999999
170.1159,37.0627,0.041881,0.12120999999999998,0.13197,0.25318,0.1069,0.007287999999999999
181.8539,37.0565,0.036691,0.099338,0.1275,0.22684,0.08752,0.006818
194.4018,37.0508,0.032146,0.081414,0.12328,0.20469,0.07167000000000001,0.006378
207.8156,37.0456,0.028163999999999998,0.066726,0.11928,0.18600999999999998,0.05869,0.005966
222.1548,37.041,0.024677,0.054689999999999996,0.11547,0.17015999999999998,0.048060000000000005,0.005581
237.4835,37.0368,0.021622,0.044826,0.11183,0.15666,0.03936,0.005221
253.8699,37.033,0.018946,0.036743,0.10834,0.14508,0.03223,0.004884
271.3869,37.0296,0.016600999999999998,0.030118000000000002,0.10499000000000001,0.13510999999999998,0.0264,0.004569
290.1126,37.0265,0.014547,0.024687999999999998,0.10175,0.12644,0.02162,0.004274
310.1304,37.0237,0.012748,0.020238,0.098609,0.11885,0.0177,0.003998
331.5294,37.0212,0.011170999999999999,0.01659,0.095566,0.11216,0.0145,0.00374
354.4049,37.019,0.0097899,0.0136,0.092606,0.10620999999999998,0.01187,0.003498
378.8588,37.017,0.008579600000000001,0.01115,0.089724,0.10087,0.009723,0.003273
405.0001,37.0152,0.007519199999999999,0.009141,0.086911,0.096052,0.007962,0.003061
432.9451,37.0135,0.00659,0.0074943,0.084163,0.091657,0.006520999999999999,0.0028640000000000002
