energy_keV,f1_e_atom,f2_e_atom,mu_rho_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,21.6125,1.9839,837.97,3.1364,841.11,0.0,0.5959
2.224304,21.5408,1.7785,702.72,3.0733,705.79,0.0,0.5574
2.377781,21.4645,1.5901,587.72,3.0033,590.72,0.0,0.5214
2.541848,21.3815,1.4215,491.51,2.9272,494.44,0.0,0.4878
2.717235,21.2933,1.272,411.44,2.8457,414.29,0.0,0.4563
2.9047240000000003,21.2005,1.1394,344.73,2.7593,347.49,0.0,0.4268
3.10515,21.1027,1.0116,286.33,2.6689,289.0,0.0,0.3993
3.319406,20.9847,0.89095,235.89,2.575,238.46,0.0,0.3735
3.5484449999999996,20.8432,0.78546,194.54,2.4786,197.02,0.0,0.3494
3.7932879999999995,20.6701,0.69316,160.6,2.3801,162.98,0.0,0.3269
4.0550239999999995,20.4452,0.61232,132.71,2.2803,134.99,0.0,0.3058
4.334821,20.1195,0.54145,109.78,2.1798,111.96,0.0,0.286
4.6339239999999995,19.5302,0.47926,90.896,2.0792,92.975,0.0,0.2676
4.867072,18.3295,0.43838999999999995,79.16199999999999,2.0055,81.168,0.0,0.2547
4.941568,16.8446,0.42651000000000006,75.855,1.9827,77.83800000000001,0.0,0.2509
4.953664,16.1067,0.42463,75.337,1.9791,77.316,0.0,0.2503
4.961434,15.0532,0.42343000000000003,75.006,1.9767,76.983,0.0,0.2499
4.991232,16.8795,3.9516,695.81,1.9678,697.78,622.1,0.2484
5.065728,18.5331,3.8444,666.98,1.9457,668.93,596.2,0.2448
5.2954669999999995,19.9941,3.55,589.19,1.8799,591.07,526.7,0.2341
5.660855000000001,20.8781,3.1852,494.51,1.7822,496.29,442.6,0.219
6.0514529999999995,21.3665,2.8699,416.81,1.6864,418.5,373.7,0.2049
6.469004,21.6932,2.5886,351.68,1.5928,353.27,315.8,0.1917
6.9153649999999995,21.9215,2.3196,294.79,1.5018,296.29,264.9,0.1793
7.392525,22.0793,2.076,246.81,1.4137,248.22,221.9,0.1677
7.902609,22.1897,1.8566,206.48,1.3288,207.81,185.7,0.1569
8.44789,22.2671,1.6599,172.69,1.2471,173.94,155.3,0.1468
9.030794,22.3223,1.4823,144.26,1.1689,145.43,129.8,0.1373
9.653919,22.3587,1.319,120.08,1.0942,121.17,108.2,0.1284
10.320039999999999,22.4196,1.1692,99.571,1.0233,100.59,89.79,0.1201
11.032119999999999,22.425,1.033,82.29299999999999,0.9559700000000001,83.249,74.26,0.1124
11.793339999999999,22.4203,0.9125,68.002,0.8923700000000001,68.89399999999999,61.42,0.1051
12.60708,22.4091,0.80612,56.196000000000005,0.83244,57.028,50.8,0.09834
