energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,71.8915,18.49,1570.9,12.323,1583.2,0.0,0.5959
2.224304,71.9718,17.142,1362.4,12.279000000000002,1374.7,0.0,0.5574
2.377781,71.8121,15.922,1183.8,12.200999999999999,1196.0,0.0,0.5214
2.541848,71.4495,14.819,1030.7,12.089,1042.8,0.0,0.4878
2.717235,70.8654,13.811,898.57,11.943,910.51,0.0,0.4563
2.9047240000000003,69.9412,12.895999999999999,784.88,11.767000000000001,796.65,0.0,0.4268
3.10515,68.6251,11.834000000000001,673.78,11.561,685.34,0.0,0.3993
3.319406,65.439,10.677,568.62,11.328,579.95,0.0,0.3735
3.4806660000000003,59.7039,9.9352,504.62,11.147,515.77,0.0,0.3562
3.5339419999999997,53.8613,9.7113,485.81,11.085999999999999,496.9,0.0,0.3508
3.5484449999999996,47.4966,9.6521,480.87,11.07,491.94,0.0,0.3494
3.5694589999999997,52.6347,20.892,1034.7,11.046,1045.7,0.0,0.3473
3.6227339999999995,56.173,21.494,1048.9,10.985,1059.9,0.0,0.3422
3.6530480000000005,56.5213,21.86,1057.9,10.95,1068.8,0.0,0.3394
3.708962,54.624,22.581,1076.3,10.886,1087.2,0.0,0.3343
3.723872,50.7198,22.783,1081.6,10.868,1092.5,0.0,0.3329
3.746238,55.7172,31.484,1485.8,10.843,1496.6,0.0,0.331
3.7932879999999995,60.5481,31.609,1473.1,10.788,1483.9,0.0,0.3269
3.8021519999999995,61.1356,31.623,1470.3,10.777999999999999,1481.1,0.0,0.3261
4.0550239999999995,70.7049,30.305,1321.2,10.487,1331.7,0.0,0.3058
4.217332,73.0339,28.336,1187.8,10.300999999999998,1198.1,0.0,0.294
4.2818830000000005,72.236,27.486,1134.8,10.227,1145.0,0.0,0.2896
4.299097,70.244,27.258000000000003,1120.9,10.208,1131.1,0.0,0.2884
4.324917,72.8482,31.346,1281.3,10.177999999999999,1291.5,0.0,0.2867
4.334821,73.5305,31.209,1272.8,10.167,1283.0,0.0,0.286
4.389468,75.6949,30.458000000000002,1226.7,10.105,1236.8,0.0,0.2825
4.6339239999999995,79.742,27.299,1041.5,9.8318,1051.3,0.0,0.2676
4.953664,81.7842,24.171999999999997,862.65,9.4836,872.13,0.0,0.2503
5.078556,82.0216,23.162,806.29,9.3509,815.64,0.0,0.2441
5.156289,81.6845,22.579,774.13,9.2692,783.4,0.0,0.2405
5.177018,81.0069,22.429000000000002,765.9,9.2476,775.15,0.0,0.2395
5.208111,81.8451,23.676,803.66,9.2152,812.88,0.0,0.2381
5.285844,82.7243,23.136,773.79,9.1349,782.92,0.0,0.2346
5.2954669999999995,82.7906,23.070999999999998,770.22,9.125,779.34,0.0,0.2341
5.4370400000000005,83.4056,22.163,720.65,8.9808,729.63,0.0,0.228
5.5202599999999995,83.3692,21.668000000000003,693.92,8.8973,702.82,0.0,0.2246
5.542452,82.9745,21.539,687.04,8.8752,695.92,0.0,0.2237
5.575740000000001,83.591,22.303,707.14,8.8422,715.98,0.0,0.2224
5.660855000000001,84.3339,21.828000000000003,681.68,8.7583,690.44,0.0,0.219
6.0514529999999995,85.8919,19.892,581.12,8.386,589.51,0.0,0.2049
6.469004,86.8845,18.16,496.29,8.0104,504.3,0.0,0.1917
6.9153649999999995,87.6315,16.578,423.79,7.6336,431.42,0.0,0.1793
7.392525,88.34,15.073,360.45,7.2576,367.71,0.0,0.1677
7.902609,88.8088,13.659,305.56,6.8845,312.44,0.0,0.1569
8.44789,89.0434,12.395999999999999,259.4,6.5159,265.92,0.0,0.1468
9.030794,89.3244,11.217,219.58,6.1535,225.73,0.0,0.1373
9.653919,89.3484,10.035,183.77,5.7987,189.57,0.0,0.1284
10.320039999999999,89.2472,8.9963,154.11,5.4528,159.56,0.0,0.1201
11.032119999999999,89.1021,8.0616,129.18,5.1169,134.3,0.0,0.1124
11.793339999999999,88.8563,7.2272,108.34,4.7919,113.13,0.0,0.1051
12.60708,88.5144,6.4889,90.992,4.4786,95.471,0.0,0.09834
13.476970000000001,88.0793,5.8352,76.545,4.1777,80.723,0.0,0.092
14.40688,87.5056,5.2532,64.461,3.8897,68.351,0.0,0.08606
15.40095,86.6632,4.733,54.32899999999999,3.6149,57.943999999999996,0.0,0.0805
16.463620000000002,84.9904,4.2573,45.715,3.3534,49.068000000000005,0.0,0.07531
16.82297,83.702,4.1139,43.232,3.2717,46.504,0.0,0.0737
17.080470000000002,81.184,4.0165,41.571999999999996,3.2151,44.787,0.0,0.07259
17.14913,78.2159,3.9912,41.145,3.2003,44.345,0.0,0.0723
17.252129999999998,81.1816,9.7676,100.09,3.1782,103.27,0.0,0.07187
17.509629999999998,83.8201,9.5374,96.295,3.1241,99.419,0.0,0.07081
17.599610000000002,84.2601,9.4591,95.016,3.1055,98.12200000000001,0.0,0.07045
18.813979999999997,86.5214,8.4719,79.607,2.8712,82.478,0.0,0.0659
20.11215,86.643,7.5551,66.40899999999999,2.6502,69.059,0.0,0.06165
20.52865,86.1569,7.2931,62.806000000000004,2.585,65.391,0.0,0.0604
20.84286,84.9264,7.1048,60.262,2.5375,62.8,0.0,0.059489999999999994
20.92665,83.4187,7.0559,59.608000000000004,2.5251,62.133,0.0,0.05925
21.05234,84.9155,9.9432,83.49799999999999,2.5066,86.005,0.0,0.05889
21.32225,86.0676,9.7423,80.775,2.4677,83.243,0.0,0.05815
21.36655,86.1487,9.71,80.34,2.4614,82.801,0.0,0.05803
21.499879999999997,86.2893,9.6138,79.051,2.4425,81.494,0.0,0.057670000000000006
21.64861,86.1911,9.5083,77.64699999999999,2.4218,80.069,0.0,0.05727
21.73564,85.5954,9.4475,76.84100000000001,2.4098,79.251,0.0,0.05704
21.86619,86.5378,10.82,87.479,2.392,89.87100000000001,0.0,0.0567
22.19255,87.6176,10.587,84.333,2.3484,86.681,0.0,0.05587
22.98338,88.844,10.043,77.249,2.2478,79.497,0.0,0.05395
24.569229999999997,90.1206,9.0627,65.211,2.0657,67.277,0.0,0.050460000000000005
26.2645,90.8923,8.177,55.04,1.8959,56.93600000000001,0.0,0.04721
28.076759999999997,91.4167,7.3433,46.236999999999995,1.7379,47.975,0.0,0.044160000000000005
30.01405,91.7506,6.576,38.734,1.5913,40.325,0.0,0.04131
32.08502,91.9635,5.893,32.47,1.4555,33.926,0.0,0.03864
34.29889,92.0978,5.2854,27.241999999999997,1.3301,28.572,0.0,0.03615
36.66551,92.2294,4.73,22.805999999999997,1.2145,24.02,0.0,0.03381
39.19543,92.2566,4.2372,19.111,1.1081,20.219,0.0,0.03163
41.89992,92.2905,3.7996,16.032,1.0105,17.042,0.0,0.029589999999999998
44.79101,92.2915,3.3967,13.407,0.92107,14.328,0.0,0.02768
47.88159,92.2438,3.0332,11.199000000000002,0.83931,12.038,0.0,0.025889999999999996
51.18542,92.1798,2.7107,9.3624,0.76468,10.127,0.0,0.02422
54.717209999999994,92.1051,2.4243,7.8328,0.6967,8.5295,0.0,0.02266
58.4927,92.0229,2.1699,6.5581,0.63488,7.193,0.0,0.0212
62.5287,91.9351,1.9436,5.4951,0.5787399999999999,6.0738,0.0,0.01983
66.84318,91.8426,1.7422,4.6078,0.52784,5.1356,0.0,0.01855
71.45536,91.7453,1.5628,3.8666,0.48176,4.3484,0.0,0.01735
76.38578000000001,91.6425,1.4021,3.2449,0.4401,3.685,0.0,0.01623
81.6564,91.5374,1.2542,2.7155,0.40248,3.118,0.0,0.01518
87.29069,91.4048,1.1164,2.261,0.36854000000000003,2.6295,0.0,0.0142
93.31374,91.2401,0.99385,1.8829,0.33795,2.2208,0.0,0.01329
99.75239,91.0167,0.88245,1.5639,0.31040999999999996,1.8743,0.0,0.01243
106.6353,90.6512,0.78376,1.2994,0.28562,1.585,0.0,0.01163
113.294,89.754,0.70418,1.0988,0.26528,1.3641,0.0,0.01094
113.9931,89.5066,0.69658,1.0803,0.26332,1.3436,0.0,0.010879999999999999
115.0281,88.7858,0.68558,1.0537,0.26048000000000004,1.3142,0.0,0.01078
115.4905,87.6284,0.68076,1.0421,0.25923,1.3013,0.0,0.010740000000000001
116.1841,88.8339,2.9507,4.4898,0.25738,4.7472,3.465,0.01067
117.9182,89.8873,2.8843,4.3242,0.25288,4.5771,3.34,0.01051
121.8587,90.6637,2.7419,3.9778,0.24327,4.2211,3.0789999999999997,0.01017
130.2669,91.3182,2.4727,3.3558,0.22525,3.581,2.6069999999999998,0.009518
139.2553,91.6532,2.2281,2.8286,0.20904,3.0376,2.205,0.008903
148.864,91.8604,2.0069,2.3833,0.19446,2.5778,1.864,0.008329000000000001
159.1356,91.9976,1.8075,2.008,0.18133,2.1893,1.574,0.007790999999999999
170.1159,92.0914,1.627,1.6908,0.16951,1.8603,1.329,0.007287999999999999
181.8539,92.1545,1.464,1.4232,0.15885,1.582,1.121,0.006818
194.4018,92.1962,1.3174,1.198,0.14922,1.3472,0.9454,0.006378
207.8156,92.2226,1.1856,1.0085,0.14051,1.149,0.7973,0.005966
222.1548,92.2378,1.067,0.8491299999999999,0.13262000000000002,0.98175,0.6724,0.005581
237.4835,92.2446,0.9605,0.71501,0.12545,0.84046,0.567,0.005221
253.8699,92.2454,0.86554,0.60273,0.11890999999999999,0.72164,0.4788,0.004884
271.3869,92.2423,0.7802399999999999,0.50826,0.11295,0.62121,0.4044,0.004569
290.1126,92.2362,0.70343,0.42865,0.10749,0.53614,0.3415,0.004274
310.1304,92.2281,0.63425,0.36155,0.10247,0.46402,0.2884,0.003998
331.5294,92.2184,0.57194,0.30499,0.097836,0.40283,0.2436,0.00374
354.4049,92.2078,0.51581,0.2573,0.09355,0.35085,0.2058,0.003498
378.8588,92.1966,0.46523000000000003,0.21709,0.08957000000000001,0.30666,0.1738,0.003273
405.0001,92.1851,0.41966000000000003,0.18317999999999998,0.08586,0.26904,0.1468,0.003061
432.9451,92.1736,0.37858,0.15459,0.082388,0.23698000000000002,0.124,0.0028640000000000002
