energy_keV,f1_e_atom,f2_e_atom,mu_rho_pe_cm2_g,sigma_rho_cm2_g,mu_rho_tot_cm2_g,mu_rho_K_cm2_g,lambda_nm
2.0807330000000004,22.7317,2.3764,943.43,3.2745,946.7,0.0,0.5959
2.224304,22.672,2.1275,790.09,3.2088,793.3,0.0,0.5574
2.377781,22.6035,1.9068,662.45,3.136,665.59,0.0,0.5214
2.541848,22.5308,1.7099,555.67,3.0567,558.73,0.0,0.4878
2.717235,22.4528,1.5291,464.85,2.9716,467.82,0.0,0.4563
2.9047240000000003,22.3715,1.3687,389.23,2.8815,392.11,0.0,0.4268
3.10515,22.2923,1.215,323.23,2.7871,326.02,0.0,0.3993
3.319406,22.1901,1.0704,266.38,2.6892,269.07,0.0,0.3735
3.5484449999999996,22.0721,0.9439700000000001,219.75,2.5884,222.34,0.0,0.3494
3.7932879999999995,21.9364,0.83331,181.47,2.4856,183.96,0.0,0.3269
4.0550239999999995,21.7762,0.73636,150.01,2.3813,152.39,0.0,0.3058
4.334821,21.5764,0.65136,124.12,2.2763,126.4,0.0,0.286
4.6339239999999995,21.3044,0.57675,102.81,2.1711,104.98,0.0,0.2676
4.953664,20.8694,0.51121,85.24600000000001,2.0664,87.31200000000001,0.0,0.2503
5.2954669999999995,19.8136,0.45356,70.752,1.9627,72.715,0.0,0.2341
5.355798,19.367,0.44448999999999994,68.556,1.9452,70.501,0.0,0.2315
5.437774,17.8916,0.43262,65.72,1.9218,67.642,0.0,0.228
5.459635,16.1109,0.42954,64.991,1.9157,66.907,0.0,0.2271
5.492425,17.9281,3.9371,592.13,1.9065,594.04,528.2,0.2257
5.574402,19.5732,3.8274,567.17,1.8839,569.05,505.8,0.2224
5.660855000000001,20.2817,3.7167,542.35,1.8604,544.21,483.6,0.219
6.0514529999999995,21.5912,3.3154,452.57,1.7602,454.33,403.7,0.2049
6.469004,22.1944,2.9844,381.09,1.6622,382.75,340.4,0.1917
6.9153649999999995,22.5734,2.6931,321.7,1.567,323.27,287.8,0.1793
7.392525,22.8396,2.4213,270.56,1.4747,272.03,242.3,0.1677
7.902609,23.0228,2.1691,226.73,1.3857,228.12,203.1,0.1569
8.44789,23.1513,1.9414,189.84,1.3001,191.14,170.1,0.1468
9.030794,23.2454,1.7355,158.75,1.2181,159.97,142.3,0.1373
9.653919,23.309,1.5457,132.26,1.1399,133.4,118.7,0.1284
