energy_MeV,mu_rho_cm2_g,muen_rho_cm2_g
0.001,3764.0,3747.0
0.0015,1281.0,1276.0
0.0018389,730.0,727.1
0.0018389,741.5,738.0
0.002,586.8,584.0
0.003,184.5,183.2
0.004,79.61,78.73
0.005,41.1,40.41
0.006,23.84,23.27
0.008,10.07,9.632
0.01,5.178999999999999,4.817
0.015,1.6230000000000002,1.3459999999999999
0.02,0.7794,0.5409
0.03,0.3535,0.1531
0.04,0.2482,0.06777999999999999
0.05,0.2078,0.0406
0.06,0.1874,0.03015
0.08,0.1663,0.02395
0.1,0.1542,0.0232
0.15,0.1357,0.02495
0.2,0.1234,0.026739999999999996
0.3,0.1068,0.028739999999999998
0.4,0.09558,0.029519999999999998
0.5,0.08722,0.0297
0.6,0.08064,0.029560000000000003
0.8,0.07081,0.02885
1.0,0.06365,0.02792
1.25,0.056929999999999994,0.026680000000000002
1.5,0.051820000000000005,0.025509999999999998
2.0,0.0445,0.023469999999999998
3.0,0.03581,0.020569999999999998
4.0,0.030760000000000003,0.01867
5.0,0.027460000000000002,0.01735
6.0,0.02515,0.0164
8.0,0.02215,0.015130000000000001
10.0,0.020309999999999998,0.01435
15.0,0.01791,0.0133
20.0,0.01683,0.01281
