energy_MeV,mu_rho_cm2_g,muen_rho_cm2_g
0.001,2594.0,2589.0
0.0015,843.7,841.9
0.002,370.5,369.3
0.003,112.9,112.0
0.004,47.76,47.13
0.005,24.36,23.84
0.006,14.02,13.57
0.008,5.892,5.523
0.01,3.052,2.728
0.015,1.014,0.7481
0.02,0.5366,0.299
0.03,0.2943,0.08732999999999999
0.04,0.2322,0.042480000000000004
0.05,0.2066,0.02905
0.06,0.1925,0.024480000000000002
0.08,0.1759,0.02281
0.1,0.1651,0.02368
0.15,0.1467,0.026739999999999996
0.2,0.1339,0.028939999999999997
0.3,0.1161,0.03125
0.4,0.1039,0.032119999999999996
0.5,0.09487000000000001,0.032330000000000005
0.6,0.08772,0.03218
0.8,0.07704,0.03142
1.0,0.06926,0.0304
1.25,0.061939999999999995,0.029060000000000002
1.5,0.05637,0.027780000000000003
2.0,0.04835,0.02553
3.0,0.03872,0.022269999999999998
4.0,0.03308,0.02008
5.0,0.02935,0.01853
6.0,0.026719999999999997,0.01739
8.0,0.02324,0.01583
10.0,0.02108,0.014830000000000001
15.0,0.01815,0.01344
20.0,0.01675,0.01275
