energy_MeV,mu_rho_cm2_g,muen_rho_cm2_g
0.001,4200.0,4175.0
0.0015,1467.0,1460.0
0.002,669.8,666.7
0.003,213.5,212.1
0.004,92.82,91.88
0.005,48.15,47.42
0.006,28.02,27.42
0.008,11.87,11.42
0.01,6.101,5.733
0.015,1.8840000000000001,1.6119999999999999
0.02,0.8792,0.6494
0.03,0.3727,0.1826
0.04,0.2486,0.0789
0.05,0.202,0.04541
0.06,0.1791,0.03223
0.08,0.1563,0.02385
0.1,0.1441,0.02229
0.15,0.126,0.02332
0.2,0.1145,0.02484
0.3,0.09899,0.02663
0.4,0.08853,0.027339999999999996
0.5,0.08076,0.027489999999999997
0.6,0.07467,0.027360000000000002
0.8,0.06557,0.02671
1.0,0.05894,0.02585
1.25,0.05271,0.0247
1.5,0.04798,0.02361
2.0,0.04122,0.021730000000000003
3.0,0.03321,0.01907
4.0,0.028569999999999998,0.01733
5.0,0.02554,0.01614
6.0,0.02343,0.015280000000000002
8.0,0.02069,0.01414
10.0,0.019030000000000002,0.01345
15.0,0.01687,0.01253
20.0,0.01592,0.01211
