energy_MeV,mu_rho_cm2_g,muen_rho_cm2_g
0.001,3719.0,3709.0
0.00103542,3393.0,3383.0
0.0010721,3094.0,3085.0
0.0010721,3100.0,3091.0
0.0015,1251.0,1247.0
0.002,559.4,557.4
0.0021455,458.1,456.4
0.0021455,462.6,460.6
0.00230297,377.6,376.2
0.002472,308.5,306.9
0.002472,314.0,312.1
0.0026414,259.7,257.9
0.0028224,214.5,213.0
0.0028224,216.0,214.3
0.003,181.2,179.6
0.0036074,105.7,104.6
0.0036074,110.0,108.3
0.004,81.27,79.92
0.005,42.06,41.16
0.006,24.46,23.77
0.008,10.37,9.888
0.01,5.356,4.9639999999999995
0.015,1.693,1.396
0.02,0.8205,0.5638
0.03,0.3783,0.161
0.04,0.2685,0.07192
0.05,0.2262,0.04349
0.06,0.2048,0.03258
0.08,0.1823,0.02615
0.1,0.1693,0.02544
0.15,0.1492,0.02745
0.2,0.1358,0.029419999999999998
0.3,0.1176,0.031639999999999995
0.4,0.1052,0.03249
0.5,0.09598,0.03269
0.6,0.08874,0.03254
0.8,0.07793,0.03177
1.0,0.07007000000000001,0.030739999999999996
1.25,0.06265,0.02938
1.5,0.057010000000000005,0.02808
2.0,0.048960000000000004,0.02584
3.0,0.039310000000000005,0.02259
4.0,0.03369,0.02045
5.0,0.03,0.01895
6.0,0.027410000000000004,0.01786
8.0,0.02401,0.016390000000000002
10.0,0.02192,0.01547
15.0,0.01915,0.014209999999999999
20.0,0.01786,0.013609999999999999
