energy_MeV,mu_rho_cm2_g,muen_rho_cm2_g
0.001,4823.0,4797.0
0.0015,1672.0,1664.0
0.002,760.1,756.7
0.003,241.1,239.6
0.004,104.5,103.5
0.005,54.09,53.29
0.006,31.42,30.77
0.008,13.27,12.78
0.01,6.805,6.4079999999999995
0.015,2.088,1.796
0.02,0.9667,0.7221
0.03,0.4025,0.2022
0.04,0.2647,0.08674
0.05,0.2132,0.04943
0.06,0.188,0.0347
0.08,0.1632,0.025230000000000002
0.1,0.15,0.02335
0.15,0.131,0.02424
0.2,0.1189,0.025789999999999997
0.3,0.1027,0.027630000000000002
0.4,0.09187000000000001,0.028360000000000003
0.5,0.0838,0.02852
0.6,0.07747000000000001,0.028380000000000002
0.8,0.06803,0.027710000000000002
1.0,0.06115,0.026810000000000004
1.25,0.054689999999999996,0.02562
1.5,0.04979,0.024480000000000002
2.0,0.0428,0.02255
3.0,0.03456,0.01984
4.0,0.029810000000000003,0.018090000000000002
5.0,0.026739999999999996,0.0169
6.0,0.0246,0.016059999999999998
8.0,0.02185,0.01496
10.0,0.0202,0.0143
15.0,0.01811,0.01346
20.0,0.01722,0.0131
